Identifier,Occurrence Date,Offense,Offense Classification,longitude,latitude
822968f3,02/13/2015 09:00:00 AM,RAPE,FELONY,-73.881432957,40.671106911
41ee54a6,02/13/2015 09:00:00 AM,GRAND LARCENY,FELONY,-73.937635025,40.688465142
2cfc4036,02/13/2015 09:00:00 AM,GRAND LARCENY,FELONY,-73.996497897,40.732063336
fd5c2f62,02/13/2015 09:00:00 AM,GRAND LARCENY,FELONY,-73.78128267,40.751060768
9be0d934,02/13/2015 09:00:00 AM,BURGLARY,FELONY,-73.988806289,40.768784828
7332cb97,02/13/2015 09:10:00 AM,ROBBERY,FELONY,-73.928173165,40.658486662
2715ad8b,02/13/2015 09:15:00 AM,BURGLARY,FELONY,-73.854808617,40.864210277
f4512415,02/13/2015 09:30:00 AM,GRAND LARCENY,FELONY,-73.906838722,40.669615171
75d21606,02/13/2015 09:30:00 AM,BURGLARY,FELONY,-73.742278929,40.691039794
6a8909d9,02/13/2015 09:45:00 AM,GRAND LARCENY,FELONY,-73.913757556,40.83875187
1025db7f,02/13/2015 10:00:00 AM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.788748258,40.690201253
4ae41910,02/13/2015 10:00:00 AM,GRAND LARCENY,FELONY,-73.988371577,40.756642042
58d1a406,02/13/2015 10:00:00 AM,GRAND LARCENY,FELONY,-73.875058628,40.829376177
7d1a8e9a,02/13/2015 10:15:00 AM,BURGLARY,FELONY,-73.958408122,40.734852784
cebb17a6,02/13/2015 10:16:00 AM,GRAND LARCENY,FELONY,-73.948517949,40.589696623
9861ed1b,02/13/2015 10:57:00 AM,BURGLARY,FELONY,-73.883632911,40.744935135
71f3c8ac,02/13/2015 11:00:00 AM,GRAND LARCENY,FELONY,-73.970966778,40.639997346
4cc5f3d6,02/13/2015 11:00:00 AM,BURGLARY,FELONY,-73.850735783,40.692716492
b5ee8c1e,02/13/2015 11:00:00 AM,GRAND LARCENY,FELONY,-73.776047368,40.679700408
e4dfa6c5,02/13/2015 11:37:00 AM,GRAND LARCENY,FELONY,-73.8301407,40.759577798
f024e2b7,02/13/2015 12:00:00 PM,BURGLARY,FELONY,-74.08165623,40.615491223
b24f4f6c,02/13/2015 12:00:00 PM,RAPE,FELONY,-73.831568765,40.698736773
30a45ad4,02/13/2015 12:00:00 PM,GRAND LARCENY,FELONY,-73.985285504,40.723658004
5b3dceb9,02/13/2015 12:00:00 PM,BURGLARY,FELONY,-73.863272463,40.760321794
79f5560e,02/13/2015 12:10:00 PM,GRAND LARCENY,FELONY,-73.989921825,40.744985243
42fd696d,02/13/2015 12:15:00 PM,BURGLARY,FELONY,-73.96829052,40.577379617
ad997b24,02/13/2015 12:30:00 PM,BURGLARY,FELONY,-73.96731408,40.630686044
d82fa88a,02/13/2015 12:30:00 PM,GRAND LARCENY,FELONY,-73.949825134,40.690060324
21bbb88f,02/13/2015 12:30:00 PM,GRAND LARCENY,FELONY,-73.980491289,40.746732438
985c85e1,02/13/2015 12:30:00 PM,GRAND LARCENY,FELONY,-73.973786302,40.763800684
82a279d7,02/13/2015 12:40:00 PM,FELONY ASSAULT,FELONY,-73.953378214,40.781099816
b529fe98,02/13/2015 12:45:00 PM,ROBBERY,FELONY,-73.98483595,40.765024079
c4f02658,02/13/2015 01:00:00 PM,BURGLARY,FELONY,-73.961403025,40.622749023
6659fc0c,02/13/2015 01:00:00 PM,FELONY ASSAULT,FELONY,-73.765342359,40.762886741
1d74ab9a,02/13/2015 01:00:00 PM,BURGLARY,FELONY,-73.988806289,40.768784828
e87a808b,02/13/2015 01:00:00 PM,GRAND LARCENY,FELONY,-73.961780901,40.805830187
18560d26,02/13/2015 01:00:00 PM,GRAND LARCENY,FELONY,-73.904934062,40.862758367
f4c265ef,02/13/2015 01:00:00 PM,FELONY ASSAULT,FELONY,-73.833156832,40.88269399
418002ef,02/13/2015 01:05:00 PM,GRAND LARCENY,FELONY,-73.986949544,40.756043535
da2d2a18,02/13/2015 01:07:00 PM,ROBBERY,FELONY,-73.914592848,40.68636981
cc829f43,02/13/2015 01:10:00 PM,GRAND LARCENY,FELONY,-73.950358757,40.680442873
e07fe0c9,02/13/2015 01:15:00 PM,FELONY ASSAULT,FELONY,-73.756709877,40.601159958
53fb5f5a,02/13/2015 01:15:00 PM,ROBBERY,FELONY,-73.949188876,40.786823562
e38a83cf,02/13/2015 01:30:00 PM,GRAND LARCENY,FELONY,-73.868446756,40.651698159
7daddfa,02/13/2015 01:30:00 PM,ROBBERY,FELONY,-73.950696363,40.716341837
19caf76b,02/13/2015 01:30:00 PM,GRAND LARCENY,FELONY,-73.968188083,40.762234771
3de9700b,02/13/2015 01:40:00 PM,GRAND LARCENY,FELONY,-73.982686691,40.742343933
8b22e593,02/13/2015 01:45:00 PM,GRAND LARCENY,FELONY,-73.946786267,40.679870364
5b209ab0,02/13/2015 01:45:00 PM,GRAND LARCENY,FELONY,-74.013776048,40.70754637
603f3daf,02/13/2015 01:45:00 PM,ROBBERY,FELONY,-73.762728185,40.714422602
1a5b25bd,02/13/2015 01:50:00 PM,ROBBERY,FELONY,-73.998634892,40.685764708
e01358d8,02/13/2015 01:51:00 PM,GRAND LARCENY,FELONY,-73.926716496,40.832895381
52067223,02/13/2015 02:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-74.116892148,40.56329032
ce956407,02/13/2015 02:00:00 PM,BURGLARY,FELONY,-73.841364287,40.693952828
745e83e9,02/13/2015 02:00:00 PM,ROBBERY,FELONY,-73.931897899,40.70636327
12e35cd0,02/13/2015 02:00:00 PM,GRAND LARCENY,FELONY,-73.832836568,40.761242315
2bc99bff,02/13/2015 02:00:00 PM,GRAND LARCENY,FELONY,-73.912623215,40.841163617
84e10993,02/13/2015 02:00:00 PM,BURGLARY,FELONY,-73.954736461,40.743080168
b65a153e,02/13/2015 02:10:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-74.003623569,40.656571214
