lsoa,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018
E01000067,159.34301431858438,161.6299283306612,156.17787351079008,147.87373852099574,153.2834885676707
E01000068,162.25288400910793,165.99866930825334,146.98582033983902,143.380205306919,138.24329383681516
E01000069,195.13856276114947,191.89685786079107,169.6007906229689,163.2376841374148,165.8934591608905
E01000070,165.12173374999807,165.36888453304059,147.5797798933358,143.73124771463364,142.3306402050352
E01000071,199.23074950864688,204.17164887740316,178.91240264017785,178.53220935405682,183.41150927879576
E01000072,275.36829590178047,157.27722826578704,188.13071453261716,200.99418784794403,205.00219492161295
E01000073,212.68691333923567,163.98733330038857,195.61699553684153,217.37335692792914,210.89233017905357
E01000074,201.47104764639693,150.8375871575088,191.76732574467454,198.0113325922881,220.56486977654924
E01000075,362.52951234500483,147.16609435658313,179.84199432839685,189.8807222171434,207.01353278812863
E01000076,433.61250021797184,163.01562291079696,186.4788894393256,210.35525548314536,215.6861873585004
E01000077,241.4618407490129,199.45951166634947,208.72671977181403,229.03614840741486,378.1103827654345
E01000078,254.23544039602072,244.44008192523523,230.52448268830523,267.62372004027605,469.0723693083755
E01000079,251.85321617586166,237.96637950184538,246.57530749039572,258.51609899471396,365.00187725875156
E01000080,237.39032087066852,213.13892263415755,207.36610785762932,236.79942690528668,442.2070425399088
E01000081,262.08396997102517,241.2246225369754,241.74743349370257,256.9691727471964,371.979307691042
E01000082,256.7692221427607,236.5844632203078,246.82292249807148,253.37328690414552,315.40904989028667
E01000083,257.599718806496,254.71100404776502,272.4256730736843,279.44009778103634,453.73944384790167
E01000084,224.8959142193312,211.25639200932483,291.4140215082204,219.8635924138245,212.25033834484066
E01000085,224.09605545688945,189.4679251012138,249.1710945737743,223.13815844283548,215.50871986437707
E01000086,211.81878943705914,187.59995372792207,267.5172740000786,231.5292143939129,227.74488956721132
E01000087,209.22688285404138,169.11483773175092,218.4567199935712,217.67665393453376,211.56356427809575
E01000088,212.07446226830677,177.87455843973126,220.44675916354592,219.4414300435852,231.38648849471403
E01000089,191.9805707367872,174.04167238036754,173.70733290925958,179.9055479685635,173.40476704807892
E01000090,177.19709375788446,153.50599403663477,161.22857469211834,161.26807574721283,154.5414652881441
E01000091,233.53387306680554,262.76811442266444,269.64697942664924,292.3478690996788,321.8267782738253
E01000092,220.63975694624992,247.9927500351662,246.47455090701308,264.49637730726283,297.30838846647674
E01000093,223.73339358680792,257.0049796833149,264.31695677968827,285.0167928024954,311.6188014290288
E01000094,223.68025444840978,251.16218214202556,255.85574452903825,277.4989419038472,305.04242057076016
E01000095,194.41288140813893,208.40935829861692,217.7005190635554,230.07583149557297,267.941440305066
E01000096,215.35031613713608,224.47069450428168,225.14596791800346,237.15210304884118,289.66616529611093
E01000097,216.33580123764764,237.89068424167115,312.7962887964196,266.8825329822872,524.319948518182
E01000098,205.4892377584625,246.58921796972948,334.77040259016707,266.0071513497577,580.4383076889306
E01000099,217.9126862488439,224.2653008750224,272.99533776558684,256.79770397595433,391.9476550187626
E01000100,222.21848622645433,223.51218715025524,234.0250118098547,239.48297280648154,260.6759789104785
E01000101,219.48491721023439,222.76401770219675,228.98363486963132,235.70122205603195,265.0252391379559
E01000102,248.21594468580375,240.3337452803919,279.2018855644427,268.8568746524915,377.8955926372524
E01000103,206.90658006622488,224.5551512923292,223.37600038528186,220.98580600668618,201.54532909929756
E01000104,211.86472853240707,219.23673319160986,222.29795627740194,216.02014415307394,205.0297709863075
E01000105,206.0979797976812,203.4642555871737,229.91838871729001,193.91963177024908,197.45332577053907
E01000106,197.6871246298707,207.80404065948042,203.9997376592504,174.85520128274422,174.67844993034845
E01000107,217.85735781188092,245.683615951198,246.27312724200652,250.88007512359997,213.59533445077662
E01000108,229.17772452638835,265.65443232668525,264.26034375183815,270.2554579617562,229.55024978616152
E01000109,217.49101836628927,217.29704333380235,237.46932384698664,232.50615553273937,293.19870351646034
E01000110,373.3866513629455,289.7069058600491,267.81772716340015,253.26446073277546,254.02723063491706
E01000111,339.3570934912033,284.91379687991423,275.35175566225587,271.8559718747095,285.1766767149504
E01000112,332.37746166926803,276.3099819371487,251.1793987732642,238.82678529777522,247.35714169859287
E01000113,301.95009649494136,246.16228615303064,223.17804166192073,206.81489472374489,205.44672413928492
E01000114,285.5885881410534,272.66532226382145,286.2610525829234,287.1762351798096,280.7329343510297
E01000115,131.10083836986922,129.96375468460354,147.17936127336588,141.60897733889712,127.78482964340503
E01000116,162.43519551245993,161.1286963685074,196.20762082181218,197.81355285871987,175.0767644749058
E01000117,266.75810844850196,296.39034576812134,323.5523779193307,332.9575064697627,306.0125774000852
E01000118,228.85456970730525,242.29495045665885,264.53339993341325,263.31346283405804,257.453610049643
E01000119,114.60131700295815,116.87087257989263,140.14434393667403,133.52231490112277,118.27632061574953
E01000120,134.79021594437975,128.39263909688134,151.74128995920853,143.37939577009683,132.1353065469143
E01000121,211.55305495519005,234.7039404367251,263.87269277036097,252.9225089830254,248.49622075733438
E01000122,129.83405074813948,130.39599226784122,157.1107848230137,151.6815918074227,144.2627694082193
E01000123,249.9946232758944,269.9225090413377,295.56659104195006,282.47950264273413,277.4136620721337
E01000124,238.89572991471985,259.5855295025507,280.5245485968289,262.9176925269557,263.1596879250776
E01000125,175.27317888353605,181.02044643132072,185.39803776895474,156.84488007945853,147.14308250426154
E01000126,178.36838328727765,184.1023523391197,179.92048134641104,172.55588734877537,177.61591716666499
E01000127,192.75540453641094,189.46207377650018,200.24103549809453,188.97193591663026,171.15925734365553
E01000128,168.4086286894626,162.58124924160612,175.8140265412781,159.8169835105053,137.8218953392708
E01000129,171.69826209135763,174.88982699907743,182.8129763629008,161.00137069928783,140.87272457477476
E01000130,184.80996436080255,181.28566568206892,190.1430796305165,179.81067548205007,168.3806475019138
E01000131,154.62764283289468,157.07731927005668,158.5586060527006,146.59972232324787,139.8121025746276
E01000132,198.1407820473035,200.14710499855028,202.4697941890879,194.37440065699658,181.46344274841948
E01000133,188.04273797173641,185.82305969228779,193.3105200289595,180.89710069775512,165.48662299658534
E01000134,173.36553659104152,171.4381513667486,184.77141186490812,171.96122446349258,157.90480516104645
E01000135,206.3464469244614,229.6900060853986,229.976076384562,228.12954197467013,213.44167886291
E01000136,206.25794506838642,214.63648345082515,207.06483846709114,202.50186812875233,183.35431661120498
E01000137,295.33545962540643,283.2105169166362,231.8631437304174,229.5405058099142,215.19120073009051
E01000138,304.1160378256172,281.8249835815916,224.0425873219675,221.8072827531021,211.0664729421368
E01000139,364.53648773184847,288.6187826214861,209.189435168318,210.24757261271932,187.37768157814716
E01000140,323.3865471606784,268.56072680955646,210.50624485549304,206.67140905138842,184.00260334295714
E01000141,209.59169470958656,179.78256832899908,170.3204647091026,157.6437022652806,144.5817262317258
E01000142,274.82730629710113,254.31095527889147,210.00693071181345,206.51467372300013,194.0546975263611
E01000143,277.4626593534377,236.65120762958625,183.2141771981801,177.60764915728538,162.43547617192527
E01000144,152.86937205858553,171.56823823209106,190.9179490711445,191.82732248811044,176.54582019622518
E01000145,176.33449451385746,190.0643000912353,201.91896927997777,207.97188462237568,195.75383251934738
E01000146,172.20382830225483,204.64455449991536,220.52663767144674,216.84159075944763,200.07292903808943
E01000147,109.1106787000205,117.33284017963513,110.0985646165221,96.97537911203287,103.29758922575948
E01000148,134.53848384312312,140.00765055591015,133.83286689738085,119.50952762427177,124.43967067470464
E01000150,123.53459047339862,128.500008017934,121.92255208041864,111.6286834858128,128.66348839238952
E01000151,177.37639724436653,184.92363211207666,172.1752394334691,178.95851111829148,205.67766447488293
E01000152,182.46667919114768,190.35219521888007,180.78477759921864,181.40696962281982,201.59307705607148
E01000153,183.13757902080485,187.4714306990525,178.67964257103912,179.8252962714765,196.45250817058817
E01000154,178.43465662758294,184.98311787429378,174.68787494035905,179.55158546325222,204.52169052604302
E01000155,141.01665584760417,149.31261122764144,145.26207607863222,133.15326134495703,130.8030232327553
E01000156,174.12247691048907,178.631912584739,162.56556063994316,186.4102117035336,294.20302162702063
E01000157,171.8199651387459,173.9415447087763,162.94876013645882,185.19413834807654,309.54269416013057
